participant,list,discriminability,phase,relevance,response,sufficient,hex,trial,matCode,matLabel,colLabel,accurate,non_filler_count,overdescription,adjective,dimOfOverDescription
participant007,list4,high,description,base,the blue and metal bat,sound,#4fc0f8,critical,metal_wood_00,metal,blue,TRUE,3,TRUE,color & material,color
participant007,list4,high,description,base,the green bat,color,#4ff889,critical,metal_wood_08,wood,green,TRUE,1,FALSE,color,NA
participant007,list4,low,description,relevant,the blue and metal bat,color,#53e7e5,critical,metal_wood_01,metal,green,FALSE,3,TRUE,color & material,material
participant007,list4,low,description,relevant,the blue and metal bat,sound,#4fc0f8,critical,metal_wood_06,NA,blue,TRUE,3,TRUE,color & material,color
participant007,list4,high,description,relevant,the metal bat,sound,#4fc0f8,filler,metal_wood_01,metal,blue,TRUE,1,FALSE,material,NA
participant007,list4,low,description,relevant,the blue bat,color,#53e7e5,critical,metal_wood_09,wood,green,FALSE,1,FALSE,color,NA
participant007,list4,low,description,relevant,the green bat,color,#53e7e5,critical,metal_wood_00,metal,green,TRUE,1,FALSE,color,NA
participant007,list4,low,description,relevant,the blue and wooden bat,sound,#4fc0f8,critical,metal_wood_08,wood,blue,TRUE,3,TRUE,color & material,color
participant007,list4,low,description,irrelevant,the metal bat,sound,#53e7e5,critical,metal_wood_01,metal,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,base,the green bat,color,#4ff889,critical,metal_wood_00,metal,green,TRUE,1,FALSE,color,NA
participant007,list4,low,description,irrelevant,the metal bat,sound,#53e7e5,critical,metal_wood_00,metal,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,base,the blue and metal bat,sound,#4fc0f8,critical,metal_wood_01,metal,blue,TRUE,3,TRUE,color & material,color
participant007,list4,low,description,irrelevant,the metal bat,sound,#53e7e5,critical,metal_wood_00,metal,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,base,the metal bat,sound,#4fc0f8,critical,metal_wood_01,metal,blue,TRUE,1,FALSE,material,NA
participant007,list4,low,description,irrelevant,the blue bat,color,#4fc0f8,critical,metal_wood_08,wood,blue,TRUE,1,FALSE,color,NA
participant007,list4,low,description,relevant,the green and wooden bat,color,#53e7e5,critical,metal_wood_09,wood,green,TRUE,3,TRUE,color & material,material
participant007,list4,high,description,base,the green bat,color,#4ff889,critical,metal_wood_00,metal,green,TRUE,1,FALSE,color,NA
participant007,list4,low,description,irrelevant,the green bat,color,#4ff889,critical,metal_wood_08,wood,green,TRUE,1,FALSE,color,NA
participant007,list4,high,description,relevant,the blue bat,color,#4fc0f8,filler,metal_wood_00,metal,blue,TRUE,1,FALSE,color,NA
participant007,list4,high,description,relevant,the green bat,color,#4ff889,filler,metal_wood_09,wood,green,TRUE,1,FALSE,color,NA
participant007,list4,low,description,irrelevant,the wood bat,sound,#53e7e5,critical,metal_wood_08,wood,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,base,the blue bat,color,#4fc0f8,critical,metal_wood_09,wood,blue,TRUE,1,FALSE,color,NA
participant007,list4,low,description,relevant,the wooden bat,sound,#4fc0f8,critical,metal_wood_08,wood,blue,TRUE,1,FALSE,material,NA
participant007,list4,low,description,relevant,the blue and metal bat,sound,#4fc0f8,critical,metal_wood_06,NA,blue,TRUE,3,TRUE,color & material,color
participant007,list4,low,description,relevant,the green bat,color,#53e7e5,critical,metal_wood_00,metal,green,TRUE,1,FALSE,color,NA
participant007,list4,high,description,relevant,the wooden bat,sound,#4ff889,filler,metal_wood_08,wood,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,base,the wooden bat,sound,#4ff889,critical,metal_wood_08,wood,green,TRUE,1,FALSE,material,NA
participant007,list4,low,description,irrelevant,the metal bat,sound,#53e7e5,critical,metal_wood_01,metal,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,base,the wooden bat,sound,#4fc0f8,critical,metal_wood_08,wood,blue,TRUE,1,FALSE,material,NA
participant007,list4,low,description,relevant,the metal bat,sound,#4fc0f8,critical,metal_wood_06,NA,blue,TRUE,1,FALSE,material,NA
participant007,list4,low,description,irrelevant,the green bat,color,#4ff889,critical,metal_wood_06,NA,green,TRUE,1,FALSE,color,NA
participant007,list4,low,description,irrelevant,the wooden bat,sound,#53e7e5,critical,metal_wood_08,wood,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,relevant,the metal bat,sound,#4fc0f8,filler,metal_wood_01,metal,blue,TRUE,1,FALSE,material,NA
participant007,list4,low,description,irrelevant,the metal bat,sound,#53e7e5,critical,metal_wood_01,metal,green,TRUE,1,FALSE,material,NA
participant007,list4,high,description,base,the wooden bat,sound,#4fc0f8,critical,metal_wood_09,wood,blue,TRUE,1,FALSE,material,NA
participant009,list2,high,description,relevant,the orange bat,color,#f8884f,filler,metal_wood_00,metal,orange,TRUE,1,FALSE,color,NA
participant009,list2,high,description,relevant,the yellow bat,color,#f8dc4f,filler,metal_wood_00,metal,yellow,TRUE,1,FALSE,color,NA
participant009,list2,high,description,relevant,the metal bat,sound,#f8884f,filler,metal_wood_00,metal,orange,TRUE,1,FALSE,material,NA
participant009,list2,high,description,base,the wood bat,sound,#f8884f,critical,metal_wood_09,wood,orange,TRUE,1,FALSE,material,NA
participant009,list2,low,description,irrelevant,the metal bat,sound,#faaf50,critical,metal_wood_01,metal,orange,TRUE,1,FALSE,material,NA
participant009,list2,low,description,irrelevant,the orange bat,color,#f8884f,critical,metal_wood_05,metal,orange,TRUE,1,FALSE,color,NA
participant009,list2,high,description,base,the orange bat,color,#f8884f,critical,metal_wood_09,wood,orange,TRUE,1,FALSE,color,NA
participant009,list2,low,description,relevant,the wood bat,sound,#f8884f,critical,metal_wood_06,wood,orange,TRUE,1,FALSE,material,NA
participant009,list2,low,description,relevant,the yellow metal bat,color,#fab650,critical,metal_wood_01,metal,yellow,TRUE,2,TRUE,color & material,material
participant009,list2,low,description,relevant,the orange bat,color,#faaf50,critical,metal_wood_08,wood,orange,TRUE,1,FALSE,color,NA
participant009,list2,low,description,relevant,the wood bat,sound,#f8884f,critical,metal_wood_06,wood,orange,TRUE,1,FALSE,material,NA
